Hierarchy ,Occupational therapists,Gross pay - full-time per annum
Professional,Quality control planning engineers,38102
Professional,Quality assurance regulatory professionals,42549
Professional,Environmental health professionals,36340
Professional,"Journalists, newspaper periodical editors",37377
Professional,Public relations professionals,32148
Professional,Advertising accounts managers creative directors,37851
Associate  professional  & technical,Laboratory technicians,20336
Associate  professional  & technical,Engineering technicians,35295
Associate  professional  & technical,Quality assurance technicians,26077
Associate  professional  & technical,"Planning, process production technicians",29420
Associate  professional  & technical,"Science, engineering production technicians n.e.c.",27313
Associate  professional  & technical,Architectural town planning technicians,30601
Associate  professional  & technical,Draughtspersons,29460
Associate  professional  & technical,IT operations technicians,30029
Associate  professional  & technical,IT user support technicians,30250
Associate  professional  & technical,Paramedics,37880
Associate  professional  & technical,Pharmaceutical technicians,22762
Associate  professional  & technical,Medical dental technicians,26180
Associate  professional  & technical,Health associate professionals n.e.c.,24030
Associate  professional  & technical,Youth community workers,25383
Associate  professional  & technical,Child early years officers,23122
Associate  professional  & technical,Housing officers,26568
Associate  professional  & technical,Counsellors,23754
Associate  professional  & technical,Welfare housing associate professionals n.e.c.,24012
Associate  professional  & technical,Police officers (sergeant below),41522
Associate  professional  & technical,Fire service officers (watch manager below),34516
Associate  professional  & technical,Prison service officers (below principal officer),28568
Associate  professional  & technical,Police community support officers,27127
Associate  professional  & technical,Protective service associate professionals n.e.c.,33253
Associate  professional  & technical,Artists,28785
Associate  professional  & technical,"Authors, writers translators",31153
Associate  professional  & technical,"Arts officers, producers directors",37830
Associate  professional  & technical,"Photographers, audio-visual broadcasting equipment operators",27649
Associate  professional  & technical,Graphic designers,26490
Associate  professional  & technical,"Product, clothing related designers",29788
Associate  professional  & technical,"Sports coaches, instructors officials",24005
Associate  professional  & technical,Fitness instructors,19115
Associate  professional  & technical,Legal associate professionals,29308
Associate  professional  & technical,"Estimators, valuers assessors",30239
Associate  professional  & technical,Insurance underwriters,32908
Associate  professional  & technical,Finance investment analysts advisers,36809
Associate  professional  & technical,Taxation experts,44818
Associate  professional  & technical,Importers exporters,25747
Associate  professional  & technical,Financial accounting technicians,43766
Associate  professional  & technical,Financial accounts managers,38628
Associate  professional  & technical,Business related associate professionals n.e.c.,28425
Associate  professional  & technical,Buyers procurement officers,30320
Associate  professional  & technical,Business sales executives,33229
Associate  professional  & technical,Marketing associate professionals,28143
Associate  professional  & technical,Sales accounts business development managers,46000
Associate  professional  & technical,Conference exhibition managers organisers,26588
Associate  professional  & technical,Conservation environmental associate professionals,22558
Associate  professional  & technical,Public services associate professionals,34544
Associate  professional  & technical,Human resources industrial relations officers,29955
Associate  professional  & technical,Vocational industrial trainers instructors,29057
Associate  professional  & technical,Careers advisers vocational guidance specialists,27489
Associate  professional  & technical,Inspectors of standards regulations,30770
Associate  professional  & technical,Health safety officers,35078
Administrative  & secretarial,National government administrative occupations,25408
Administrative  & secretarial,Local government administrative occupations,25937
Administrative  & secretarial,Officers of non-governmental organisations,24522
Administrative  & secretarial,Credit controllers,24105
Administrative  & secretarial,"Book-keepers, payroll managers wages clerks",24341
Administrative  & secretarial,Bank post office clerks,22831
Administrative  & secretarial,Finance officers,25311
Administrative  & secretarial,Financial administrative occupations n.e.c.,22431
Administrative  & secretarial,Records clerks assistants,21815
Administrative  & secretarial,Pensions insurance clerks assistants,21990
Administrative  & secretarial,Stock control clerks assistants,21915
Administrative  & secretarial,Transport distribution clerks assistants,25198
Administrative  & secretarial,Library clerks assistants,19829
Administrative  & secretarial,Human resources administrative occupations,20571
Administrative  & secretarial,Sales administrators,21370
Administrative  & secretarial,Other administrative occupations n.e.c.,21273
Administrative  & secretarial,Office managers,31427
Administrative  & secretarial,Office supervisors,26511
Administrative  & secretarial,Legal secretaries,21206
Administrative  & secretarial,School secretaries,19014
Administrative  & secretarial,Personal assistants other secretaries,26727
Administrative  & secretarial,Receptionists,17471
Administrative  & secretarial,Typists related keyboard occupations,19282
Skilled trades,Horticultural trades,19987
Skilled trades,Gardeners landscape gardeners,20688
Skilled trades,Groundsmen greenkeepers,20091
Skilled trades,Metal working production maintenance fitters,32091
Skilled trades,Precision instrument makers repairers,26553
Skilled trades,"Vehicle technicians, mechanics electricians",27363
Skilled trades,Electricians electrical fitters,32315
Skilled trades,Electrical electronic trades n.e.c.,32478
Skilled trades,"Skilled metal, electrical electronic trades supervisors",35629
Skilled trades,Plumbers heating ventilating engineers,31055
Skilled trades,Construction building trades n.e.c.,26000
Skilled trades,Painters decorators,24214
Skilled trades,Construction building trades supervisors,36542
Skilled trades,Upholsterers,25238
Skilled trades,Footwear leather working trades,20791
Skilled trades,Printers,25640
Skilled trades,Print finishing binding workers,21930
Skilled trades,Butchers,21421
Skilled trades,Bakers flour confectioners,19972
Skilled trades,Fishmongers poultry dressers,18144
Skilled trades,Chefs,21403
Skilled trades,Cooks,16154
Skilled trades,Catering bar managers,20740
Skilled trades,"Glass ceramics makers, decorators finishers",19838
Skilled trades,Other skilled trades n.e.c.,25258
