AREACD,AREANM,Agriculture and Fishing,Energy and Water,Manufacturing,Construction,"Distribution, Hotels and Restaurants",Transport and Communications,"Banking, Finance and Insurance","Public Admin, Education and Health",Other Services,Total Services,"Key Workers aged 16-64, January-December 2019, England"
E07000118,Chorley,3.2,#N/A,11.3,5.1,13.2,9.3,13.7,33.5,7.5,77.2,34.4
E07000119,Fylde,#N/A,#N/A,9.5,#N/A,19.9,5.9,29.8,22.3,6.1,84.1,26.6
E07000120,Hyndburn,#N/A,#N/A,12.5,#N/A,19.8,15.6,18.9,23.2,8.6,86.1,25.4
E07000121,Lancaster,3,2.8,9.1,6,21.2,8.2,12.7,30.9,6.1,79.1,35.4
E07000122,Pendle,#N/A,#N/A,23,9.7,21.7,12.6,9.7,19.7,#N/A,66.1,40
E07000123,Preston,#N/A,#N/A,13.1,8.3,17.5,8.1,8.5,39.2,4.6,77.7,38.2
E07000124,Ribble Valley,#N/A,#N/A,12.5,6.6,9.5,6.2,18.7,35.1,8.4,77.9,32.4
E07000125,Rossendale,#N/A,#N/A,12.3,9.1,23.4,9.5,14.2,24.4,7.3,78.6,26.3
E07000126,South Ribble,#N/A,3.4,15.3,6.4,13.4,10.8,14.3,28.3,7.5,74.3,32.3
E07000127,West Lancashire,#N/A,#N/A,4.4,4.7,17.3,18,11.2,33.1,7.6,87.2,44.5
E07000128,Wyre,#N/A,2.8,7,2.9,18.3,8.4,10.9,38.3,10.6,86.4,48.2
E08000011,Knowsley,#N/A,1.3,9,7.9,17.5,9.3,17.5,31,6.5,81.7,32.4
E08000012,Liverpool,#N/A,0.8,6,6,16.4,9.3,16.2,39.4,5.5,86.8,30.4
E08000014,Sefton,#N/A,0.8,5.4,7.1,19.2,8.3,17.1,36,5.5,86.2,34.7
E08000013,St. Helens,#N/A,1.7,10.2,5.5,18,11.3,14.7,32.9,4.6,81.4,33.5
E08000015,Wirral,#N/A,1.8,12.1,6.3,17.5,5.4,15.5,35.9,5.3,79.6,38.9
E06000011,East Riding of Yorkshire,3,1.9,13,6.1,16.9,6.3,12.5,35.5,4.5,75.7,35.8
E06000010,"Kingston upon Hull, City of",#N/A,1,17,7.2,21,7.4,13.9,26.4,5.5,74.2,35.8
E06000012,North East Lincolnshire,#N/A,3.1,20.2,6.3,23.4,9.1,10.3,22.7,4.4,69.8,37.5
E06000013,North Lincolnshire,2.7,3.3,15,7.2,21.8,6.7,9.8,26.4,6.8,71.5,35
E06000014,York,0.9,0.7,7.7,6.1,18.3,9.2,17.3,34,5.6,84.3,31.5
E07000163,Craven,15.6,#N/A,7.1,5,24.9,4.6,23.3,17.1,#N/A,72.4,40.2
E07000164,Hambleton,#N/A,3.8,9.3,4.2,18.3,4.3,17,38.9,3.4,81.9,46.8
E07000165,Harrogate,2.9,2.1,9.6,5,27.7,7.4,16.1,26.3,2.4,80,33.2
E07000166,Richmondshire,7.2,#N/A,8.1,7,22.7,#N/A,14.8,21.2,12.8,75.4,39.5
E07000167,Ryedale,5.6,#N/A,7.1,5.6,18.2,#N/A,11.2,37.1,9.8,80.3,28
E07000168,Scarborough,#N/A,#N/A,10.5,7.1,21.9,3.3,10.2,40.1,2.9,78.4,41
E07000169,Selby,2.3,4.7,12,8.3,27.3,7.4,12.5,18.8,6.8,72.7,28.6
E08000016,Barnsley,0.7,2.6,13,8.2,15.2,11.1,12.7,32.1,4.4,75.5,35
E08000017,Doncaster,0.6,2,8.1,10.2,23.8,12.2,10.7,29,2.9,78.6,35.9
E08000018,Rotherham,#N/A,0.6,10.8,7.9,12.2,7.6,13.9,38.2,7.7,79.5,33.9
E08000019,Sheffield,#N/A,0.9,10.7,6.4,14.3,6.5,14,41.2,5.9,81.9,32.2
E08000032,Bradford,#N/A,1.6,13.5,5.5,18,8.5,18.1,28.6,5.6,78.8,30.6
E08000033,Calderdale,#N/A,1.2,12.1,4.9,15.8,7.6,18,35,5,81.5,35.5
E08000034,Kirklees,#N/A,0.5,15.5,6.7,21.5,8.6,14.8,26.9,4.7,76.5,29.2
E08000035,Leeds,#N/A,1,8.4,6.1,15.3,9.2,19.5,33.7,6.1,83.7,32.5
E08000036,Wakefield,0.6,1.2,13.1,7.7,18.6,10.2,14.6,29.9,3.8,77,33.2
E06000015,Derby,#N/A,1.9,17.1,7.3,16.8,9.7,12.7,29.1,5.1,73.4,32.3
E06000016,Leicester,#N/A,1.4,18.2,5.4,18,9.8,13.7,28.5,4.1,74.1,31.5
E06000018,Nottingham,#N/A,2.4,7.9,6.8,21.8,7.3,12.7,36.7,4.2,82.7,34.8
E06000017,Rutland,2.7,#N/A,11.1,4.2,16.7,10.5,17,24.2,12.5,81,24.3
E07000032,Amber Valley,#N/A,5.4,19.9,9.3,15.7,7.3,9.8,32.1,#N/A,64.9,32.2
E07000033,Bolsover,#N/A,#N/A,21.1,#N/A,20.1,7.9,10.2,34.4,#N/A,72.7,36.4
E07000034,Chesterfield,#N/A,#N/A,12.7,4.4,22.2,8.1,10.7,36.2,5.1,82.3,38.9
E07000035,Derbyshire Dales,12.7,#N/A,#N/A,11.2,31,5.3,9.4,23.8,3.9,73.4,29.5
E07000036,Erewash,#N/A,4.1,17.9,4.1,20.3,10.2,14.5,24.8,4,73.9,37.4
E07000037,High Peak,#N/A,#N/A,9.9,4.7,17.8,4.4,20.2,31.1,9.9,83.4,41.3
E07000038,North East Derbyshire,#N/A,#N/A,19,6.9,19.3,4.1,16.3,26.7,6.2,72.5,32.6
E07000039,South Derbyshire,#N/A,#N/A,16.4,6.8,19.5,12.3,15.7,25.8,#N/A,75.3,28.6
E07000129,Blaby,#N/A,4.6,9.7,9.1,9.6,9.6,16.3,37.7,3.4,76.6,31.7
E07000130,Charnwood,#N/A,#N/A,14,8.9,17.3,10.4,12.4,33.2,3.3,76.7,36.8
E07000131,Harborough,#N/A,#N/A,8.2,8.6,29.2,7.1,8.7,32.8,3.5,81.3,42.4
E07000132,Hinckley and Bosworth,#N/A,5.3,9.3,9.1,17.9,7,13.8,34.5,1.7,74.9,38.2
E07000133,Melton,#N/A,#N/A,9,7.7,22,9.8,16.5,26,7.3,81.6,29
E07000134,North West Leicestershire,4.6,2.7,16.3,11.9,24.2,6.6,10.3,14.8,7.5,63.4,26.5
E07000135,Oadby and Wigston,#N/A,#N/A,14.4,#N/A,24.9,8.3,#N/A,38.6,#N/A,78.4,22.3
E07000136,Boston,#N/A,#N/A,19.7,#N/A,27,5.4,17.2,19,#N/A,70.6,42.7
E07000137,East Lindsey,#N/A,#N/A,6.1,6.5,28.2,4.7,12.3,28.8,9.8,83.9,42
E07000138,Lincoln,#N/A,4.4,9.8,9.8,19.2,6.5,12.1,28.3,8.9,75,33
E07000139,North Kesteven,4.6,2.5,13.2,7.2,16.3,7.8,12.6,33.3,2.2,72.1,37.5
E07000140,South Holland,4.4,#N/A,17,9.5,26.6,11.6,7.8,19.3,#N/A,67.2,42.1
E07000141,South Kesteven,5.9,#N/A,10.8,8.2,26.5,2.7,12.2,26.9,4.7,72.9,31.8
E07000142,West Lindsey,3.6,4.4,8.6,8,15.6,7.2,15.2,30.3,7,75.4,37
E07000150,Corby,#N/A,#N/A,29.9,5.2,19.7,7.5,8.4,27.5,#N/A,64.9,31.3
E07000151,Daventry,#N/A,3,15,8.5,19.4,15,14.2,18.6,5.6,72.8,26.9
E07000152,East Northamptonshire,#N/A,4.2,14.2,6.3,9.7,12,14.9,28.6,7.9,73,30.8
E07000153,Kettering,#N/A,#N/A,8.1,9.3,10.6,21.1,17.4,30.5,3.1,82.6,37.3
E07000154,Northampton,#N/A,2.1,9.9,3.9,15.9,13.5,22.8,27.4,3.4,83,30.9
E07000155,South Northamptonshire,#N/A,#N/A,8.5,12.6,9.7,6.6,30.4,29.3,#N/A,77.8,27.3
E07000156,Wellingborough,5.6,#N/A,4.7,7.1,23.9,10.2,12.6,28,7.8,82.5,40.5
E07000170,Ashfield,#N/A,#N/A,17,9.2,23.8,8.4,14.2,25.5,1.7,73.8,29.1
E07000171,Bassetlaw,5.4,#N/A,11.4,4.9,23.8,5,12.8,28.1,8.7,78.4,39.1
E07000172,Broxtowe,#N/A,#N/A,13.9,11,16,11.5,14.6,29.1,2.8,74,38.2
E07000173,Gedling,#N/A,2.1,10,10,19.8,6.8,18.6,26.7,5.5,77.4,37.7
E07000174,Mansfield,#N/A,#N/A,8,13.9,21.2,8.2,14.7,27.2,6,77.2,31.9
E07000175,Newark and Sherwood,#N/A,#N/A,10.2,6.1,23.9,5.7,14.5,30.8,6.5,81.5,27.2
E07000176,Rushcliffe,1.9,#N/A,10.5,3.7,15.1,5.3,24.6,33.8,5,83.9,28.5
E06000019,"Herefordshire, County of",7.2,1.4,11.3,7.5,14.7,4.3,17.5,29.9,5.9,72.3,36.2
E06000051,Shropshire,2.7,1.6,10.9,7.7,14.7,6.7,15.5,33.2,6.5,76.6,35.6
E06000021,Stoke-on-Trent,#N/A,1.2,13.9,5.2,20.8,12.2,11.7,28.2,6.4,79.3,35.2
E06000020,Telford and Wrekin,1.4,2.2,14.6,5.6,19.8,7.4,12.1,31.7,5.1,76.1,30
E07000192,Cannock Chase,#N/A,5.9,12.8,10.4,18.4,4.7,18.6,20.2,9,70.9,28.6
E07000193,East Staffordshire,#N/A,#N/A,18.1,8.6,21.6,9.4,8.2,29,#N/A,70.2,28.8
E07000194,Lichfield,#N/A,#N/A,18.4,6.4,13.6,12.5,12.9,27.2,6.6,72.8,32.6
E07000195,Newcastle-under-Lyme,#N/A,3.5,8.5,9.5,18.8,10.1,12.7,32.2,4.7,78.5,28.1
E07000196,South Staffordshire,#N/A,#N/A,16.9,10.2,16.9,4.5,12.5,31.1,6.9,71.9,35.2
E07000197,Stafford,#N/A,3.3,9.1,8.7,14.9,7.1,9.6,43.1,4.4,79,34.6
E07000198,Staffordshire Moorlands,3.2,#N/A,9.4,17.2,17.3,#N/A,17.5,25,9.3,69.1,33.4
E07000199,Tamworth,#N/A,#N/A,16.7,4.3,29.3,12.8,11.3,18.5,4.8,76.7,30.9
E07000218,North Warwickshire,#N/A,4.7,22.8,6.8,14,10.9,13.4,21.4,6,65.7,23.6
E07000219,Nuneaton and Bedworth,#N/A,#N/A,13.8,6.7,17.5,11,13,29.7,4.6,75.9,34.4
E07000220,Rugby,#N/A,#N/A,10.1,6,15.6,17.1,19.5,24.7,5.2,82,23.3
E07000221,Stratford-on-Avon,4.1,1.7,14.6,2.6,13.1,11.7,21.1,25.6,4.8,76.2,26.4
E07000222,Warwick,#N/A,2.8,11.3,3.8,13.7,9.6,21,27.4,8.1,79.8,27.7
E08000025,Birmingham,0.5,0.9,9.4,6.6,17.4,11.2,15.9,32.3,5.3,82.1,36
E08000026,Coventry,0.5,1.9,11.7,6,19,9.2,14.8,31.2,4.8,79,29.7
E08000027,Dudley,#N/A,2.3,10.3,10,18,5.5,13.5,32.9,6,76,31.6
E08000028,Sandwell,#N/A,2.4,12.9,7.3,18,9.3,14.7,29.2,5.7,76.9,31
E08000029,Solihull,0.4,1.6,10.7,5.8,15.3,9.8,19.4,30.8,5.7,81,30.8
E08000030,Walsall,#N/A,2.1,13.5,7.1,22.3,5.6,11.8,33.1,4,76.8,35.8
E08000031,Wolverhampton,#N/A,1.1,17.2,5.8,18.8,8.2,13.6,30.7,3.4,74.8,36.5
E07000234,Bromsgrove,#N/A,#N/A,10.3,8.8,20.7,10,20.5,24.8,#N/A,77.6,38.7
E07000235,Malvern Hills,4.2,#N/A,13.9,10.4,16.8,4.2,13.7,27.9,7.6,70.1,32.2
E07000236,Redditch,#N/A,#N/A,16.4,4.5,13.1,5.7,15.4,37.5,4.6,76.3,38
E07000237,Worcester,#N/A,2.3,6.7,14.2,19.4,7.6,12,34.7,2,75.6,30.8
E07000238,Wychavon,#N/A,2.1,9.8,9.1,9,9.7,22.5,30.4,5.2,76.8,38.9
E07000239,Wyre Forest,#N/A,#N/A,12.8,12.4,16.3,6.9,13.3,27.6,7.6,71.6,33.1
E06000055,Bedford,1.1,1.1,8,9.6,17.5,9.2,18.8,29.9,4.4,79.8,32.6
E06000056,Central Bedfordshire,0.6,0.9,9.3,9.1,16.5,7.9,20.1,29.7,4.9,79,33.4
E06000032,Luton,#N/A,1.3,9.6,8.2,22,12.1,14.6,27.2,4.1,80,31.6
E06000031,Peterborough,#N/A,1,11.7,6.3,19.1,11.3,16.9,28.1,4.7,80.2,32.9
E06000033,Southend-on-Sea,#N/A,0.6,7.4,7,13.3,8.2,26.6,28.9,7.5,84.5,31.4
E06000034,Thurrock,0.5,1.5,6,10.6,18.5,13.9,16.6,26.3,5.9,81.3,29.2
E07000008,Cambridge,#N/A,#N/A,10.1,#N/A,13.9,9.3,12.9,46.8,4.3,87.2,28.7
E07000009,East Cambridgeshire,3.6,#N/A,12.3,9.6,12.3,9,16.6,28.6,6.9,73.4,35.7
E07000010,Fenland,#N/A,#N/A,22.4,5.3,11.2,9.8,18.5,24.6,5.7,69.8,24.2
E07000011,Huntingdonshire,#N/A,#N/A,9.8,9.8,20,11.3,14.9,25.9,7,79,31.1
E07000012,South Cambridgeshire,#N/A,#N/A,8.9,5.6,12.4,20.8,17.1,28.2,5.6,84.2,27.5
E07000066,Basildon,#N/A,2.7,3.6,13.3,16.3,12.1,19.4,26.2,5.5,79.5,33.7
E07000067,Braintree,#N/A,2.1,11.4,9.4,17.1,10.6,15.8,24.1,7.9,75.5,29.4
E07000068,Brentwood,#N/A,#N/A,6.9,10.7,#N/A,9.6,35,19.5,9.6,77.6,31
E07000069,Castle Point,#N/A,#N/A,12.4,11,12.7,8.7,15.7,26.7,11.3,75,34.6
E07000070,Chelmsford,#N/A,#N/A,3.5,5.3,14.4,11.4,23.9,34.4,4.4,88.4,40.7
E07000071,Colchester,#N/A,#N/A,6.3,8.3,18.5,7.5,17.6,36.2,4.8,84.6,36.8
E07000072,Epping Forest,2.4,#N/A,4,5.6,13,6.6,36,24.1,7.1,86.8,24
E07000073,Harlow,#N/A,#N/A,11.9,8,12.9,14,14.9,33.3,#N/A,76.6,30.1
E07000074,Maldon,#N/A,#N/A,5.7,19.2,14.9,9.3,19.9,18.3,9.1,71.5,22.1
E07000075,Rochford,#N/A,#N/A,6.7,10.8,12.7,11.7,34.7,21,#N/A,82.4,23.8
E07000076,Tendring,#N/A,#N/A,7.2,6.6,12.8,7.9,14.7,33.5,15.2,84,35.6
E07000077,Uttlesford,#N/A,#N/A,10.1,11,25.1,7.6,22.7,15.7,5.2,76.3,29
E07000095,Broxbourne,#N/A,#N/A,5.2,13.3,17.2,8.9,23.1,25.2,6.4,80.8,30.5
E07000096,Dacorum,#N/A,2.2,9.4,9.8,16.2,11.2,21.4,25,4.8,78.6,25.4
E07000242,East Hertfordshire,#N/A,#N/A,6.9,6.4,19.9,5.9,28.6,24.4,6.2,84.9,28.3
E07000098,Hertsmere,#N/A,#N/A,4.6,6.9,16.2,10.8,21.3,33.6,6.6,88.5,45.3
E07000099,North Hertfordshire,#N/A,1.5,11.2,7.5,13.5,8.4,12.1,38.5,5.9,78.5,35.3
E07000240,St Albans,#N/A,#N/A,8,5.7,13.2,17.5,28.3,21,5,85,29.9
E07000243,Stevenage,#N/A,4.8,6.7,8.6,12.4,8.8,9.9,43.2,5.5,79.9,39.7
E07000102,Three Rivers,#N/A,#N/A,#N/A,11.2,5.8,11.3,24.9,37.5,6,85.6,41.7
E07000103,Watford,#N/A,#N/A,6.1,#N/A,20.2,16.7,24.3,29.6,#N/A,92.8,31.3
E07000241,Welwyn Hatfield,#N/A,#N/A,3.2,12.7,21.2,5,25.2,26.4,5.5,83.3,34.3
E07000143,Breckland,3,#N/A,10.9,7.8,22.7,3.5,13.4,34.4,2.5,76.5,31.3
E07000144,Broadland,#N/A,1.8,6.8,7.4,16,7.5,24.5,29.2,5.7,82.9,38.8
E07000145,Great Yarmouth,#N/A,#N/A,4.7,#N/A,31,13.1,17.7,27.1,#N/A,90.5,43.6
E07000146,King's Lynn and West Norfolk,3.1,#N/A,15.9,6.5,24,6,14,24.2,4.7,73,32.3
E07000147,North Norfolk,#N/A,#N/A,7.2,11.7,28.7,16.1,11.6,9.4,13.3,79.2,26.6
E07000148,Norwich,#N/A,#N/A,6.7,4.9,21.6,5.6,15.5,34.6,7.1,84.5,37.8
E07000149,South Norfolk,1.7,#N/A,11.3,2.9,15.7,2.3,23.1,36.3,5.3,82.9,34.1
E07000200,Babergh,#N/A,3,13.9,7.7,14.7,6.8,16.6,32.7,4.5,75.3,39.6
E07000244,East Suffolk,1.6,2.7,7.1,9.4,16.9,9,15.6,30.8,7,79.3,#N/A
E07000202,Ipswich,#N/A,2.6,3.6,6.4,17.2,13.2,18.2,33.1,5.1,86.7,35.3
E07000203,Mid Suffolk,3.4,#N/A,9.2,8.4,13.8,9.4,20.2,27.4,6.4,77.1,32.3
E07000245,West Suffolk,2.5,#N/A,12.7,11.4,19,6.4,16.4,26.9,3.9,72.6,#N/A
E09000007,Camden,#N/A,#N/A,3.3,6.6,11,9.6,35,25.1,8.9,89.4,25.3
E09000001,City of London,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47.7,#N/A,84.7,0
E09000012,Hackney,#N/A,#N/A,1.4,4.2,12.5,10.4,32.3,31.8,7.2,94.2,29.9
E09000013,Hammersmith and Fulham,#N/A,#N/A,6.3,4.1,13.2,11.2,33.8,20.2,9.3,87.7,24.5
E09000014,Haringey,#N/A,1.2,3.2,4.3,20.3,13.7,20.2,30.3,6.5,91,23.2
E09000019,Islington,#N/A,#N/A,3,4.6,15,12.2,28.8,24.3,10,90.2,25.9
E09000020,Kensington and Chelsea,#N/A,1.3,2.7,2.1,12.7,14.6,34.5,18.2,13.5,93.5,31.1
E09000022,Lambeth,#N/A,1.3,4.1,3.8,13,13.7,34.6,21.2,7.4,90,22.6
E09000023,Lewisham,#N/A,#N/A,3.7,4.7,10.2,10.8,24.7,37.2,6.2,89.1,33.7
E09000025,Newham,#N/A,#N/A,1.9,9.7,23.8,15.9,19.1,24.5,4.1,87.4,25.6
E09000028,Southwark,#N/A,#N/A,2.6,6.1,13.7,10.4,28.2,29.9,7.5,89.7,31.4
E09000030,Tower Hamlets,#N/A,#N/A,2.9,1.3,14.9,15.1,34.7,22.8,8.3,95.9,27.5
E09000032,Wandsworth,#N/A,1.6,3.2,3,10.3,14.3,31.8,26.2,8.7,91.3,30.1
E09000033,Westminster,#N/A,#N/A,3.5,1.9,11.3,15.4,33.4,25.4,7.6,93.1,0
E09000002,Barking and Dagenham,#N/A,#N/A,7.3,10.8,24.7,7.4,12.7,31,4.6,80.5,33.1
E09000003,Barnet,#N/A,1.3,3.4,4.8,13.1,8.1,28.1,31.9,7.7,88.9,29.3
E09000004,Bexley,#N/A,1.2,3.1,13.4,15.1,8.8,18.9,32.3,6.1,81.2,29
E09000005,Brent,#N/A,#N/A,1.9,7.4,17,10.8,25,32.8,3.1,88.7,35.9
E09000006,Bromley,#N/A,#N/A,1.5,5.1,14.2,8.7,32.9,31.1,4.9,91.8,33.8
E09000008,Croydon,#N/A,1.2,4.2,5.1,17.6,10.8,22.5,31.5,5.7,88.1,31.7
E09000009,Ealing,#N/A,#N/A,5.1,9.1,15.9,18.5,18.8,26.1,6,85.4,30.8
E09000010,Enfield,#N/A,1.8,3.6,8.1,18.1,9.5,23.1,28.8,7.1,86.6,32.2
E09000011,Greenwich,#N/A,#N/A,3.7,5.9,13.1,10.1,32.3,28.4,5.7,89.5,32.8
E09000015,Harrow,#N/A,1.3,4.1,9.9,20.2,11.6,21.9,24.9,6.1,84.7,31.4
E09000016,Havering,#N/A,1.3,5.4,7.6,15.2,7.5,21.6,35.5,5.3,85.1,35
E09000017,Hillingdon,#N/A,#N/A,4.4,5.3,17.6,13.9,20.5,33.4,3.2,88.5,35.1
E09000018,Hounslow,#N/A,#N/A,5.1,4.9,15.3,15.6,18.7,29.6,8.1,87.3,28
E09000021,Kingston upon Thames,#N/A,#N/A,3.7,5.3,11.3,9.3,32.8,28.2,7.6,89.1,30.4
E09000024,Merton,#N/A,#N/A,2.1,9,12.5,11.2,27.2,29.4,7.7,88,28.2
E09000026,Redbridge,#N/A,#N/A,3,13.1,19,9.9,23.5,26.4,4.8,83.7,29.9
E09000027,Richmond upon Thames,#N/A,1.5,5.2,2.6,14.3,13.2,34.9,20,8.2,90.6,26.3
E09000029,Sutton,#N/A,#N/A,3.7,8.7,15.5,10.7,26.9,28.1,5.5,86.7,29
E09000031,Waltham Forest,#N/A,#N/A,3.7,6.8,14.7,14.6,19.6,31.1,8.6,88.6,31.9
E06000036,Bracknell Forest,#N/A,1.1,8.3,6.1,18.7,14.1,18.1,26.9,5.7,83.3,28.6
E06000043,Brighton and Hove,#N/A,1.4,6.5,5.7,16.4,8.6,23.7,31.5,5.7,85.8,31.3
E06000046,Isle of Wight,1.3,1.6,10.2,6.9,19,5.2,14.9,33.6,7,79.8,35.5
E06000035,Medway,#N/A,2.8,8.4,9.4,16.5,10.1,15.5,31.3,5.4,78.9,30.2
E06000042,Milton Keynes,#N/A,0.5,8,5.6,19.2,12.2,20.7,25.1,8.2,85.4,28.9
E06000044,Portsmouth,#N/A,0.7,8.9,7.8,17.3,9.4,13.4,35.7,6,81.8,30.6
E06000038,Reading,#N/A,3.3,7,6.7,18.3,15.4,22.2,23.7,3.2,82.8,30.2
E06000039,Slough,#N/A,1.9,7.2,3.4,20.5,19.1,14.8,24.6,8.1,87.1,35.8
E06000045,Southampton,#N/A,1.3,7.2,5.6,18.9,12.3,17.2,31.6,5.6,85.7,31.3
E06000037,West Berkshire,1.5,2.2,10.3,6.6,14.6,12.3,21.9,23.8,6.4,79,26.8
E06000040,Windsor and Maidenhead,0.4,1.4,11,4.9,12.9,15.4,23,25.9,4.9,82.1,27.3
E06000041,Wokingham,#N/A,2,8.2,5,13.6,15.5,23.3,26.7,5.3,84.4,34.5
E06000060,Buckinghamshire,0.4,1.2,9.8,6.5,16,11.7,22,26.4,5.7,81.8,#N/A
E07000061,Eastbourne,#N/A,#N/A,#N/A,5.6,23.4,5.2,16.2,38.3,8.3,91.4,30.1
E07000062,Hastings,#N/A,#N/A,6.9,18.1,22.9,4.9,18.3,24.6,2.8,73.5,33.1
E07000063,Lewes,#N/A,#N/A,5.6,7.8,11.6,7.2,20.7,32.6,11.1,83.1,31.6
E07000064,Rother,#N/A,#N/A,6.1,7.1,33.3,#N/A,17.3,29.4,3.7,85.2,38
E07000065,Wealden,1.6,#N/A,5.1,4.9,15.5,9,24.7,32.4,6.8,88.4,33.3
E07000084,Basingstoke and Deane,#N/A,1.7,10.7,7.3,12.9,15.5,14,31.1,6.5,80,32.7
E07000085,East Hampshire,#N/A,#N/A,3.4,6.1,13.4,10.2,23.8,33.2,7.1,87.8,39.2
E07000086,Eastleigh,#N/A,#N/A,15.6,4.3,14.5,9.8,14,31,9.5,78.8,32.8
E07000087,Fareham,#N/A,#N/A,14.5,5.8,11.7,9.3,18,34.8,4,77.7,30.5
E07000088,Gosport,#N/A,#N/A,10.6,12,20.5,7.7,9.6,36.4,#N/A,77.3,32.2
E07000089,Hart,#N/A,#N/A,4.9,6,17.1,18.1,21.3,29.3,3.4,89.1,24.7
E07000090,Havant,#N/A,6.7,12.8,12.7,14.8,9.6,14.6,25.8,#N/A,66.3,40.1
E07000091,New Forest,1.7,1.8,7.7,5,23.6,4.7,15.6,28.9,10.9,83.8,27.6
E07000092,Rushmoor,#N/A,#N/A,11,4.1,18.1,7.2,21.2,32.5,4,83,30.6
E07000093,Test Valley,#N/A,#N/A,9.4,4.8,15,9.8,17.3,40.1,3,85.2,36.5
E07000094,Winchester,#N/A,#N/A,11.3,6.6,12.1,5.7,21.9,33,9.5,82.1,28.1
