AREACD,AREANM,Agriculture and Fishing,Energy and Water,Manufacturing,Construction,"Distribution, Hotels and Restaurants",Transport and Communications,"Banking, Finance and Insurance","Public Admin, Education and Health",Other Services,Total Services,"Key Workers aged 16-64, January-December 2019, England"
E06000047,County Durham,0.6,1.3,10.7,7.9,16.9,5.1,12.7,38.7,5.9,79.4,33.1
E06000005,Darlington,1.4,1.6,9.5,7.1,18.3,8.1,12.4,37.1,4.5,80.3,34.9
E06000001,Hartlepool,#N/A,5.6,7.9,9.3,22.2,5.3,13.2,31.5,4.3,76.5,34.3
E06000002,Middlesbrough,#N/A,1.3,9.2,7.7,21.6,8.1,7.8,40.5,2.6,80.6,38.6
E06000057,Northumberland,3.5,1.4,10.3,7.6,14.1,8.6,16.2,31.8,6.4,77.1,32.2
E06000003,Redcar and Cleveland,0.7,4.1,9.2,8.7,19.5,5.8,12.2,33.1,6.8,77.4,34.5
E06000004,Stockton-on-Tees,0.6,1.8,9.9,7.8,17.2,6.8,13.6,36,6.2,79.8,34.7
E08000037,Gateshead,#N/A,1.6,11.9,8.9,18.5,6.6,14.4,33.2,4.7,77.3,32.9
E08000021,Newcastle upon Tyne,#N/A,2,6.3,4.2,19.5,10.1,13.9,38.4,5.7,87.6,37.4
E08000022,North Tyneside,#N/A,2,9.2,6,13.5,11.7,12.4,38.7,6.3,82.5,38.8
E08000023,South Tyneside,#N/A,2.1,14.1,5.9,16,7.7,14.5,34,5.3,77.6,32.6
E08000024,Sunderland,0.4,2.4,12.8,7.9,19.4,5.8,13.8,31.1,6.3,76.4,33.6
E06000008,Blackburn with Darwen,#N/A,1.1,15.4,6,19.7,8.4,12.6,32.2,4,76.9,35.5
E06000009,Blackpool,#N/A,1.7,6.9,6.6,23,8,12.3,34.8,5.8,83.9,32.1
E06000049,Cheshire East,1.8,1.3,13.2,4.3,19.7,7.3,16.7,30.8,4.8,79.4,33.3
E06000050,Cheshire West and Chester,1.7,1.5,12.1,4.7,21.3,5.2,18.2,29.9,5.5,80.1,30.6
E06000006,Halton,#N/A,1.8,11.2,7.9,16.3,11.4,14.6,30.5,4.5,77.3,30
E06000007,Warrington,0.5,2.2,9.5,6,17.1,8.9,19,29.9,5.8,80.8,31.1
E07000026,Allerdale,6.7,10.7,12.4,7.2,16.3,7.1,10.6,25,3.9,63,37.4
E07000027,Barrow-in-Furness,#N/A,3.3,31.3,3.4,19.2,#N/A,7.4,25.2,5.9,60.6,32.8
E07000028,Carlisle,2.3,4.3,10.2,11.4,18,8,12.9,28.6,4.2,71.7,34
E07000029,Copeland,#N/A,20.6,15,6.8,17.7,5.8,13.5,17.4,#N/A,56.4,33.6
E07000030,Eden,5.5,#N/A,7.4,11,18.8,5.5,18.3,26.6,5.1,74.3,36.8
E07000031,South Lakeland,4.7,3.2,8.7,7.5,22.6,5,12.1,28,8.2,75.9,26.4
E08000001,Bolton,0.9,1.4,8.7,6.2,20.2,7.2,13.2,34.3,7.9,82.7,35.8
E08000002,Bury,0.7,2.2,9.5,6.8,17.3,7.6,20.5,30.1,5,80.4,31
E08000003,Manchester,#N/A,0.9,4.7,3.3,20.8,13,18.6,31.9,6.1,90.4,33.4
E08000004,Oldham,#N/A,1,9.4,7.6,21.5,9.9,15.2,31.3,4,81.9,32.8
E08000005,Rochdale,#N/A,#N/A,12,9,19.4,9.6,11,32.2,5.1,77.4,34.4
E08000006,Salford,#N/A,1.2,9.1,7.1,21.3,9.1,18.6,27.6,5,81.7,30.2
E08000007,Stockport,#N/A,2.1,8.9,5.3,14.8,7.8,23,30.8,6.3,82.8,36.5
E08000008,Tameside,#N/A,1.7,12,8,19.2,7.5,15.5,30.3,5.2,77.8,34.5
E08000009,Trafford,#N/A,0.8,7.3,6,17.3,7.7,23.6,28.9,6.9,84.5,31.1
E08000010,Wigan,#N/A,2.1,8.5,10.6,20.4,7.8,14.3,28.2,7.5,78.1,32.6
E07000117,Burnley,#N/A,#N/A,15.3,9.6,16.8,13.9,6.4,30.2,6.7,73.9,31.9
