AREACD,AREANM,Male 0-4,Male 5-9,Male 10-14,Male 15,Male 16,Male 17,Male 18,Male 19,Male 20,Male 21,Male 22,Male 23,Male 24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75-79,Male 80-84,Male 85-89,Male 90+,Female 0-4,Female 5-9,Female 10-14,Female 15,Female 16,Female 17,Female 18,Female 19,Female 20,Female 21,Female 22,Female 23,Female 24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75-79,Female 80-84,Female 85-89,Female 90+
E06000047,County Durham,5.2,6,5.7,1,1,1,1.1,1.5,1.7,1.6,1.4,1.3,1.3,6.6,5.6,5.9,5.2,6.4,7.4,7.2,6.4,5.8,5.7,3.8,2.5,1.3,0.5,4.8,5.5,5.3,1,1,0.9,1,1.4,1.5,1.5,1.3,1.1,1.1,6.2,5.9,5.8,5.3,6.4,7.4,7.2,6.6,5.9,5.9,4.1,3.1,1.9,1.1
E06000005,Darlington,5.7,6.5,6.3,1.3,1.2,1.2,1,0.9,0.9,0.9,1.1,1,1.2,5.7,6.1,6.2,5.9,6.7,7.5,7.1,6.1,5.4,5.6,3.7,2.7,1.4,0.7,5.2,5.9,5.9,1.1,1,1,1,0.8,0.9,1,0.9,1.1,1.1,6,6.2,6.2,5.9,6.9,7.2,7,6.2,5.5,5.5,3.8,3.4,2,1.3
E06000001,Hartlepool,5.8,6.6,6.4,1.2,1.2,1.1,1.3,1.1,1,1,1.2,1.3,1.3,6.7,6.5,5.9,5.1,6.3,7.1,7.2,6.4,5.6,5.3,3.1,2.4,1.3,0.6,5.3,6.1,6,1,1.1,1,1,1,0.9,1,1.1,1.1,1.1,6.4,6.6,6,5.4,6.3,7.4,7.3,6.3,5.5,5.2,3.5,3.2,2,1.2
E06000002,Middlesbrough,7.1,7.2,6.3,1.2,1.2,1.2,1.3,1.4,1.5,1.7,1.8,1.8,1.6,8.4,7,5.6,5.2,5.6,6,6.2,5.5,4.5,4.2,2.7,2.1,1.1,0.4,6.5,6.7,6.1,1.1,1,1,1.1,1.3,1.4,1.5,1.5,1.4,1.4,7.3,6.7,6.2,5.1,5.9,6.3,6.6,6,4.9,4.3,3.2,2.7,1.7,0.9
E06000057,Northumberland,4.8,5.5,5.8,1.1,1.1,1.1,1.1,0.9,0.9,0.9,1,1.1,1,5.2,5.3,5.3,5.4,6.3,7.4,7.9,7.4,6.9,6.9,4.5,3,1.6,0.8,4.3,5,5,1,1,1,0.9,0.7,0.7,0.7,0.8,0.9,0.9,4.9,5.3,5.6,5.3,6.5,7.6,8.2,7.6,7.1,7,4.7,3.5,2.2,1.4
E06000003,Redcar and Cleveland,5.4,6.4,6.2,1.2,1.1,1.1,1.1,1,1,1,1.1,1.2,1.2,6.2,5.8,5.5,4.9,6,7.2,7.5,6.6,5.9,6.1,4.3,2.9,1.5,0.6,5,5.7,5.4,1,1,1,1,0.8,0.8,0.9,1.1,1,1,5.8,6.1,5.6,5,6.4,7.5,7.4,6.6,6.2,6.4,4.5,3.5,2.1,1.3
E06000004,Stockton-on-Tees,6,6.9,6.5,1.3,1.2,1.2,1.1,1,1,1,1.1,1.2,1.3,6.9,6.8,6.4,5.6,6.4,7.1,6.8,6,5.3,4.8,3.2,2.3,1.2,0.5,5.6,6.3,6.3,1.1,1.1,1,1,0.8,0.7,0.7,0.9,1,1.1,6.4,6.7,6.7,5.9,6.6,7.1,7.3,6.1,5.4,5.1,3.5,2.8,1.9,1
E08000037,Gateshead,5.4,5.9,5.6,1,1.1,1.2,1.2,1.3,1.2,1.2,1.2,1.4,1.4,6.7,7,6.8,6.1,6.4,6.9,6.9,6.1,5.1,5,3.4,2.6,1.4,0.6,5.1,5.5,5.4,1,1,1.1,1.1,0.9,0.9,1,1.1,1.3,1.3,6.5,7,6.7,5.7,6.4,7.1,7,6,5.2,5.4,3.9,3.3,2.1,1.2
E08000021,Newcastle upon Tyne,5.6,5.8,5.3,0.9,1,1,1.3,2.6,3.2,3.2,2.6,2.1,2.1,10.7,7.6,6,4.9,5.3,5.5,5.3,4.8,4,3.7,2.2,1.8,1,0.5,5.3,5.8,5.1,0.9,0.9,0.9,1.3,2.8,3.4,3.2,2.6,2.2,1.9,9.3,6.7,5.9,5,5.2,5.5,5.6,5,4.1,3.9,2.8,2.4,1.6,1.1
E08000022,North Tyneside,5.8,6.2,6.2,1.1,1.1,1.1,1.1,0.9,0.9,1,1.1,1.1,1,5.8,6.3,6.8,6.4,6.9,7.2,7.2,6.3,5.7,5.4,3.3,2.4,1.3,0.5,5.2,5.5,5.3,1,1,1,0.9,0.8,0.7,0.8,0.9,1,1,5.6,6.7,6.9,6.1,6.9,7.2,7.2,6.4,5.8,5.6,3.8,3.1,2.1,1.3
